Model ,Device Type ,Brand Name ,Number Of Ports ,VID ,DID ,SVID ,SSID ,Release/Detail URL,Releases
Megaraid SAS 9440-8i,SAS/SATA-RAID,Broadcom,="8",="1000",="0017",="1000",="9440",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=43162,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
MegaRAID SAS 9460-8i,SAS/SATA-RAID,Broadcom,="8",="1000",="0016",="1000",="9461",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=43866,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
SAS 9500-16e,SAS/SATA-RAID,Broadcom,="16",="1000",="00e6",="1000",="4070",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=49851,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
PERC H350 Adapter,SAS/SATA-RAID,Dell,="0",="1000",="10e6",="1028",="2177",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=54580,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 6.7 U3
PERC H355 Adapter,SAS/SATA-RAID,Dell,="0",="1000",="10e6",="1028",="2172",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=54581,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 6.7 U3
PERC H355 Front,SAS/SATA-RAID,Dell,="0",="1000",="10e6",="1028",="2173",https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=54608,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 6.7 U3
PRAID EP540e (D3850),SAS/SATA-RAID,Fujitsu,="8",="1000",="0014",="1734",124f,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=46411,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
RU150-M,SAS/SATA-RAID,Huawei Technologies Co. Ltd.,="8",="1000",="0017",="19e5",d213,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=46153,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
RU450C-M,SAS/SATA-RAID,Huawei Technologies Co. Ltd.,="8",="1000",="0016",="19e5",d215,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44881,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
SP150-M,SAS/SATA-RAID,Huawei Technologies Co. Ltd.,="8",="1000",="0017",="19e5",d213,https://www.vmware.com/resources/compatibility/detail.php?deviceCategory=io&productid=44471,ESXi 8.0 U2|ESXi 8.0 U1|ESXi 8.0|ESXi 7.0 U3|ESXi 7.0 U2|ESXi 7.0 U1|ESXi 7.0|ESXi 6.7 U3|ESXi 6.7 U2|ESXi 6.7 U1|ESXi 6.7|ESXi 6.5 U3|ESXi 6.5 U2|ESXi 6.5 U1|ESXi 6.5
